id,name,price,image,description
1,Netflix Premium (1 Pantalla),25.00,https://placehold.co/400x300/e50914/FFF?text=Netflix+1+P,Disfruta de tus series en 4K UHD. Perfil privado con PIN.
2,Netflix Cuenta Completa,80.00,https://placehold.co/400x300/b20710/FFF?text=Netflix+Full,Cuenta completa de 5 perfiles 4K UHD. Garantía total.
3,Disney+ Premium,30.00,https://placehold.co/400x300/113ccf/FFF?text=Disney%2B,Todo el contenido de Disney Pixar Marvel y Star Wars.
4,HBO Max / Max,25.00,https://placehold.co/400x300/541296/FFF?text=HBO+Max,Estrenos de cine series originales y más.
5,Amazon Prime Video,20.00,https://placehold.co/400x300/00A8E1/FFF?text=Prime+Video,Envíos gratis y el mejor streaming incluido.
6,Spotify Premium Individual,15.00,https://placehold.co/400x300/1DB954/FFF?text=Spotify,Música sin anuncios. Escucha offline.
7,Paramount+,20.00,https://placehold.co/400x300/0064ff/FFF?text=Paramount%2B,Una montaña de entretenimiento.
8,YouTube Premium,10.00,https://placehold.co/400x300/FF0000/FFF?text=YouTube,Videos sin publicidad y YouTube Music incluido.
9,YouTube Premium,15.00,https://placehold.co/400x300/FF0000/FFF?text=YouTube,Videos sin publicidad y YouTube Music incluido.
10,YouTube Premium,15.00,https://placehold.co/400x300/FF0000/FFF?text=YouTube,Videos sin publicidad y YouTube Music incluido.
11,YouTube Premium,15.00,https://placehold.co/400x300/FF0000/FFF?text=YouTube,Videos sin publicidad y YouTube Music incluido.
12,Netflix Premium (1 Pantalla),25.00,https://placehold.co/400x300/e50914/FFF?text=Netflix+1+P,Disfruta de tus series en 4K UHD. Perfil privado con PIN.
13,Disney+ Premium,30.00,https://placehold.co/400x300/113ccf/FFF?text=Disney%2B,Todo el contenido de Disney Pixar Marvel y Star Wars.
14,Disney+ Premium,30.00,https://placehold.co/400x300/113ccf/FFF?text=Disney%2B,Todo el contenido de Disney Pixar Marvel y Star Wars.
15,Disney+ Premium,30.00,https://placehold.co/400x300/113ccf/FFF?text=Disney%2B,Todo el contenido de Disney Pixar Marvel y Star Wars.
16,Disney+ Premium,30.00,https://placehold.co/400x300/113ccf/FFF?text=Disney%2B,Todo el contenido de Disney Pixar Marvel y Star Wars.








